Time (min),Volume of Mixture (ml),Viable Cells (10^6 cells/ml),mAb Concentration (mg/l),Glucose Concentration (g/l),Lactate Concentration (g/l),Viability (%)
78,5650,0.731835038334,0.674842934098,6.02813399751,0.134996267361,98.9891217706
79,5650,0.732251383715,0.683690939691,6.02784781986,0.135192192855,98.9889840054
80,5650,0.732667938802,0.692543978802,6.02756149264,0.135388211881,98.988846282
81,5650,0.73308470367,0.701402053967,6.02727501579,0.135584324465,98.9887086001
82,5650,0.733501678394,0.71026516772,6.02698838925,0.135780530636,98.9885709597
83,5650,0.733918863049,0.7191333226,6.02670161296,0.13597683042,98.9884333608
84,5650,0.734336257711,0.728006521144,6.02641468686,0.136173223844,98.9882958033
85,5650,0.734753862456,0.73688476589,6.02612761089,0.136369710935,98.9881582871
86,5650,0.735171677357,0.745768059379,6.02584038498,0.136566291721,98.9880208123
87,5650,0.735589702491,0.75465640415,6.02555300909,0.136762966229,98.9878833788
88,5650,0.736007937934,0.763549802746,6.02526548313,0.136959734485,98.9877459865
89,5650,0.736426383759,0.772448257709,6.02497780707,0.137156596516,98.9876086353
90,5650,0.736845040044,0.781351771582,6.02468998083,0.137353552351,98.9874713253
91,5650,0.737263906862,0.790260346909,6.02440200435,0.137550602015,98.9873340563
92,5650,0.737682984289,0.799173986236,6.02411387758,0.137747745536,98.9871968283
93,5650,0.738102272401,0.808092692108,6.02382560045,0.13794498294,98.9870596412
94,5650,0.738521771272,0.817016467072,6.0235371729,0.138142314255,98.9869224951
95,5650,0.738941480978,0.825945313676,6.02324859488,0.138339739508,98.9867853898
96,5650,0.739361401595,0.83487923447,6.02295986632,0.138537258726,98.9866483254
97,5650,0.739781533197,0.843818232002,6.02267098715,0.138734871935,98.9865113017
98,5650,0.740201875859,0.852762308823,6.02238195733,0.138932579162,98.9863743186
99,5650,0.740622429658,0.861711467485,6.02209277679,0.139130380435,98.9862373763
100,5650,0.741043194667,0.87066571054,6.02180344546,0.13932827578,98.9861004745
101,5650,0.741464170963,0.879625040541,6.02151396329,0.139526265224,98.9859636132
102,5650,0.74188535862,0.888589460043,6.02122433023,0.139724348795,98.9858267925
103,5650,0.742306757714,0.897558971601,6.02093454619,0.139922526518,98.9856900122
104,5650,0.74272836832,0.90653357777,6.02064461113,0.140120798421,98.9855532723
105,5650,0.743150190513,0.915513281109,6.02035452499,0.140319164531,98.9854165727
106,5650,0.743572224368,0.924498084173,6.0200642877,0.140517624874,98.9852799134
107,5650,0.74399446996,0.933487989523,6.01977389921,0.140716179477,98.9851432944
108,5650,0.744416927365,0.942482999718,6.01948335945,0.140914828367,98.9850067155
109,5650,0.744839596658,0.951483117318,6.01919266836,0.141113571571,98.9848701768
110,5650,0.745262477913,0.960488344886,6.01890182588,0.141312409116,98.9847336782
111,5650,0.745685571206,0.969498684982,6.01861083196,0.141511341028,98.9845972195
112,5650,0.746108876612,0.978514140172,6.01831968652,0.141710367334,98.9844608009
113,5650,0.746532394207,0.987534713018,6.01802838952,0.141909488061,98.9843244222
114,5650,0.746956124065,0.996560406086,6.01773694088,0.142108703236,98.9841880834
