epoch,train_mse_mg2_L2,validation_mse_mg2_L2
1.000000000000000000e+00,5.535905952300300470e+00,8.392407758602218326e-01
2.000000000000000000e+00,6.529102977359940718e-01,4.911629486349071705e-01
3.000000000000000000e+00,2.952133831348339732e-01,2.983902739065333876e-01
4.000000000000000000e+00,1.432728462941686431e-01,1.881109251974137364e-01
5.000000000000000000e+00,1.000871859881895531e-01,1.387638547388520549e-01
6.000000000000000000e+00,7.701024502413958417e-02,1.210841497290878338e-01
7.000000000000000000e+00,6.346707384350265546e-02,1.022397213699842156e-01
8.000000000000000000e+00,5.293974041354407301e-02,7.848060904831787032e-02
9.000000000000000000e+00,4.312229827570482343e-02,6.427227658683196121e-02
1.000000000000000000e+01,3.499389206901443866e-02,5.772875549825019770e-02
1.100000000000000000e+01,2.745316865827410191e-02,4.465969902907709899e-02
1.200000000000000000e+01,2.177472616813480588e-02,3.735028588076040601e-02
1.300000000000000000e+01,1.738243471475782453e-02,3.035543221336958059e-02
1.400000000000000000e+01,1.448470064376184037e-02,2.656870284686808567e-02
1.500000000000000000e+01,1.250824738165529602e-02,2.311334646445026633e-02
1.600000000000000000e+01,1.123873717383239504e-02,2.066200038030776426e-02
1.700000000000000000e+01,1.037316430917636749e-02,1.990496035131405009e-02
1.800000000000000000e+01,9.666554256055221242e-03,1.793935928903685889e-02
1.900000000000000000e+01,9.053301505902352705e-03,1.640289329222785475e-02
2.000000000000000000e+01,8.560856229400662029e-03,1.634859501896514244e-02
2.100000000000000000e+01,8.218554701451000893e-03,1.569537742984345938e-02
2.200000000000000000e+01,7.838436465421804236e-03,1.425105942680682247e-02
2.300000000000000000e+01,7.601438697349611508e-03,1.437903404645383791e-02
2.400000000000000000e+01,7.441520839338381862e-03,1.242772257760597215e-02
2.500000000000000000e+01,7.100994969148986986e-03,1.293712987299642202e-02
2.600000000000000000e+01,6.854275049340831719e-03,1.245944152800110977e-02
2.700000000000000000e+01,6.707058949410623153e-03,1.175771627815289620e-02
2.800000000000000000e+01,6.535158025983459421e-03,1.062069841646945574e-02
2.900000000000000000e+01,6.374296628941078686e-03,1.077016147462203297e-02
3.000000000000000000e+01,6.175345758056899857e-03,1.068494555511373401e-02
3.100000000000000000e+01,6.066276606654000259e-03,1.029268436450772942e-02
3.200000000000000000e+01,5.934128215192418024e-03,9.581300821203465531e-03
3.300000000000000000e+01,5.769793356571607801e-03,1.032332730623669766e-02
3.400000000000000000e+01,5.685464100010524484e-03,9.896989863300549237e-03
3.500000000000000000e+01,5.526407937900240652e-03,8.437973681055359332e-03
3.600000000000000000e+01,5.447964565336389266e-03,8.649128233305934318e-03
3.700000000000000000e+01,5.295810694828251980e-03,8.578687846624586180e-03
3.800000000000000000e+01,5.173273316232678866e-03,8.269567415956411913e-03
3.900000000000000000e+01,5.089714964688947171e-03,9.185837389138421655e-03
4.000000000000000000e+01,5.076518694699693086e-03,8.130737009337772603e-03
4.100000000000000000e+01,4.887357188680513213e-03,7.735496712710412080e-03
4.200000000000000000e+01,4.842130213022344601e-03,7.939442502754188655e-03
4.300000000000000000e+01,4.715520945493633861e-03,7.585692505266441316e-03
4.400000000000000000e+01,4.635186675432060449e-03,7.446526403778219380e-03
4.500000000000000000e+01,4.517801934109455693e-03,7.362828301102704483e-03
4.600000000000000000e+01,4.486500932694292496e-03,7.235723909662658028e-03
4.700000000000000000e+01,4.429362958335874255e-03,6.953822531396314233e-03
4.800000000000000000e+01,4.340394001277178906e-03,7.003572808582485265e-03
4.900000000000000000e+01,4.239365301961303331e-03,6.801008474826241573e-03
