epoch,train_mse_mg2_L2,validation_mse_mg2_L2
1.000000000000000000e+00,4.702763433376058622e+00,3.372647910201262977e-01
2.000000000000000000e+00,4.682323216201412786e-01,3.045095084147795839e-01
3.000000000000000000e+00,1.748910183439313648e-01,1.091726921426571656e-01
4.000000000000000000e+00,9.230503637726422683e-02,1.271068072530519011e-01
5.000000000000000000e+00,6.411376442400486264e-02,7.859308517631984070e-02
6.000000000000000000e+00,4.490005605537508715e-02,6.956278409609124858e-02
7.000000000000000000e+00,3.139107946255866727e-02,4.872615891396452764e-02
8.000000000000000000e+00,2.367373009813253382e-02,4.455881007642582825e-02
9.000000000000000000e+00,1.881215094024247039e-02,4.244604871371296384e-02
1.000000000000000000e+01,1.529691803263510258e-02,3.147406867355308918e-02
1.100000000000000000e+01,1.251108649531736637e-02,3.002855367285740470e-02
1.200000000000000000e+01,1.070314138119119948e-02,2.720438298230081278e-02
1.300000000000000000e+01,9.427118231885826469e-03,2.339026845146054481e-02
1.400000000000000000e+01,8.568980610789053362e-03,2.097535393815707846e-02
1.500000000000000000e+01,7.745987348254371706e-03,2.102794646496282394e-02
1.600000000000000000e+01,7.257751679252553295e-03,1.683957529405506401e-02
1.700000000000000000e+01,7.269309156817674138e-03,1.828333694606707263e-02
1.800000000000000000e+01,6.870211918361381065e-03,2.020276186501327592e-02
1.900000000000000000e+01,6.550461221631216462e-03,1.973677573408320202e-02
2.000000000000000000e+01,6.225365964348617519e-03,1.793921251550451360e-02
2.100000000000000000e+01,5.980173841044273374e-03,1.767118222775770561e-02
2.200000000000000000e+01,6.081250902006762535e-03,1.922699555458355636e-02
2.300000000000000000e+01,5.954221228551315019e-03,1.928095069512876167e-02
2.400000000000000000e+01,5.666979814981755632e-03,1.809743041651878243e-02
2.500000000000000000e+01,5.457026329987499369e-03,1.873820399020905553e-02
2.600000000000000000e+01,5.393155095263345994e-03,1.890743585642743613e-02
2.700000000000000000e+01,5.216493828551826105e-03,1.772390566068689222e-02
2.800000000000000000e+01,5.133058333280510199e-03,1.965247814086510877e-02
2.900000000000000000e+01,5.165443799725875397e-03,2.015683364994637697e-02
3.000000000000000000e+01,5.141735089906949649e-03,1.679139985720241868e-02
3.100000000000000000e+01,5.063481116668162862e-03,2.000028976057127358e-02
3.200000000000000000e+01,5.023937300096364446e-03,2.030303397214347841e-02
3.300000000000000000e+01,5.054731076020597610e-03,2.015116700154224311e-02
3.400000000000000000e+01,4.980514254954920145e-03,1.940474425253009561e-02
3.500000000000000000e+01,4.949383059831194594e-03,1.844270126737451027e-02
3.600000000000000000e+01,4.973883094128645974e-03,2.010326924434538420e-02
3.700000000000000000e+01,4.804445871832779651e-03,2.064836035893036215e-02
3.800000000000000000e+01,4.707571123471869685e-03,1.981566650771793281e-02
3.900000000000000000e+01,4.682412051176696940e-03,2.170588151030162713e-02
4.000000000000000000e+01,4.636447113690071384e-03,2.027535724416612908e-02
4.100000000000000000e+01,4.581965616973017290e-03,1.943426159994007807e-02
4.200000000000000000e+01,4.557714855559614510e-03,2.038288869086900615e-02
4.300000000000000000e+01,4.612328364026153579e-03,1.883228582444135615e-02
4.400000000000000000e+01,4.539909746557657666e-03,2.050247143463296631e-02
4.500000000000000000e+01,4.529757021602543246e-03,1.914526848160758715e-02
4.600000000000000000e+01,4.533249817118396863e-03,1.980178649178089209e-02
4.700000000000000000e+01,4.487133185505139815e-03,1.897842862728118737e-02
4.800000000000000000e+01,4.431834220162433370e-03,1.929028271498926111e-02
4.900000000000000000e+01,4.413106098802722053e-03,1.972302265741737726e-02
5.000000000000000000e+01,4.418492342573752778e-03,1.999264166948050078e-02
5.100000000000000000e+01,4.378727365056030336e-03,2.058420842473949672e-02
5.200000000000000000e+01,4.429960702212665767e-03,1.904007351086553501e-02
5.300000000000000000e+01,4.377945037469826994e-03,1.898390685020460988e-02
5.400000000000000000e+01,4.381262335512109765e-03,1.962316905319696353e-02
5.500000000000000000e+01,4.307935856113025673e-03,1.901272008134456334e-02
