epoch,train_mse_mg2_L2,validation_mse_mg2_L2
1.000000000000000000e+00,4.912328232144458795e+00,3.029700841379234233e-01
2.000000000000000000e+00,5.086948301472972167e-01,3.758188816783517572e-01
3.000000000000000000e+00,1.774283461108800142e-01,1.019499824834333296e-01
4.000000000000000000e+00,8.771141235135312964e-02,8.390639811902354805e-02
5.000000000000000000e+00,5.410385033028485002e-02,6.370454863002214529e-02
6.000000000000000000e+00,3.540980985983215035e-02,5.088435660206832439e-02
7.000000000000000000e+00,2.491516840266099625e-02,4.268883990417499802e-02
8.000000000000000000e+00,1.919273672877316525e-02,3.746603862870064028e-02
9.000000000000000000e+00,1.568612446112820774e-02,3.026356983295744665e-02
1.000000000000000000e+01,1.341394393805619631e-02,2.698930620491226881e-02
1.100000000000000000e+01,1.128010111443366464e-02,2.487012052502019996e-02
1.200000000000000000e+01,1.038776835605373025e-02,2.465228480190881713e-02
1.300000000000000000e+01,9.343243371993128349e-03,2.205887780586652733e-02
1.400000000000000000e+01,8.846217855339035679e-03,1.990990701603925425e-02
1.500000000000000000e+01,8.203491634378164837e-03,2.017534694928280886e-02
1.600000000000000000e+01,7.602323332198954349e-03,1.891096040462979938e-02
1.700000000000000000e+01,7.426181915217540223e-03,1.970985865830703759e-02
1.800000000000000000e+01,7.226544015011265344e-03,1.716035678269663828e-02
1.900000000000000000e+01,6.834159811781685516e-03,1.720120147663654897e-02
2.000000000000000000e+01,6.490627626002348598e-03,1.668454277537787661e-02
2.100000000000000000e+01,6.160089217594551421e-03,1.523868166682551886e-02
2.200000000000000000e+01,6.038181567855425980e-03,1.639937370259077556e-02
2.300000000000000000e+01,5.867911440607481016e-03,1.607656614417502308e-02
2.400000000000000000e+01,5.652299656360903514e-03,1.579273489230097194e-02
2.500000000000000000e+01,5.728526688726207419e-03,1.364332874044194878e-02
2.600000000000000000e+01,5.462770662581049527e-03,1.446969248721552935e-02
2.700000000000000000e+01,5.381773168777908602e-03,1.606492640803233382e-02
2.800000000000000000e+01,5.335132095177690624e-03,1.421096149279836053e-02
2.900000000000000000e+01,5.501343605472183360e-03,1.474820022340295363e-02
3.000000000000000000e+01,5.276039411946982331e-03,1.452618244633283387e-02
3.100000000000000000e+01,5.028566772994686428e-03,1.303439014757440916e-02
3.200000000000000000e+01,4.922510830034187816e-03,1.237084981724890717e-02
3.300000000000000000e+01,4.820839920572318402e-03,1.498890088274214619e-02
3.400000000000000000e+01,4.764107143640184013e-03,1.308458570392289320e-02
3.500000000000000000e+01,4.702114298321150195e-03,1.236608959457830004e-02
3.600000000000000000e+01,4.585178981700121018e-03,1.304514825080997989e-02
3.700000000000000000e+01,4.515323348347959759e-03,1.236574051158245702e-02
3.800000000000000000e+01,4.528871205185166886e-03,1.114512322267261109e-02
3.900000000000000000e+01,4.421394307167566921e-03,1.238168626581592942e-02
4.000000000000000000e+01,4.210411319042157118e-03,1.066803982264168810e-02
4.100000000000000000e+01,4.178055849683158865e-03,1.210633019372166913e-02
4.200000000000000000e+01,3.998725121483434272e-03,1.169248040159140932e-02
4.300000000000000000e+01,3.892692363166010833e-03,1.119138465332644890e-02
4.400000000000000000e+01,3.991468772685045040e-03,1.256210862216246109e-02
4.500000000000000000e+01,3.942720442855304763e-03,1.186634158435695592e-02
4.600000000000000000e+01,3.893161718172996784e-03,1.007836327246814517e-02
4.700000000000000000e+01,3.820671277449904941e-03,1.202272878306915281e-02
4.800000000000000000e+01,3.671035808642323685e-03,1.076719922772263575e-02
4.900000000000000000e+01,3.778060516776447775e-03,1.007588398982720360e-02
