epoch,train_mse_mg2_L2,validation_mse_mg2_L2
1.000000000000000000e+00,5.530411428258799056e+00,9.434482701440767283e-01
2.000000000000000000e+00,6.542303252083072618e-01,5.248150889262138685e-01
3.000000000000000000e+00,2.583791364116369005e-01,2.915243191353580898e-01
4.000000000000000000e+00,1.288561634250410537e-01,1.314491061742920353e-01
5.000000000000000000e+00,8.970673659063843619e-02,1.144429964735319410e-01
6.000000000000000000e+00,6.654424499052213893e-02,9.297236120075944021e-02
7.000000000000000000e+00,5.088090658422917550e-02,5.282970093345597945e-02
8.000000000000000000e+00,3.801571497774071384e-02,4.205402454252743505e-02
9.000000000000000000e+00,2.883559812901683936e-02,2.984211955196311786e-02
1.000000000000000000e+01,2.209911047883537927e-02,2.571221779943318880e-02
1.100000000000000000e+01,1.766663554503088845e-02,1.833792479954224688e-02
1.200000000000000000e+01,1.450265378603975315e-02,1.673762124158124573e-02
1.300000000000000000e+01,1.221112977472219377e-02,1.407563927111665260e-02
1.400000000000000000e+01,1.091866671664918839e-02,1.524887846047118072e-02
1.500000000000000000e+01,9.949669616183496115e-03,1.310012287237713978e-02
1.600000000000000000e+01,9.306504629202818485e-03,1.217637389518046870e-02
1.700000000000000000e+01,8.717991903439867643e-03,1.172399406738387773e-02
1.800000000000000000e+01,8.252294204658042545e-03,1.148544542537702218e-02
1.900000000000000000e+01,7.909624858376687953e-03,1.089213722199102938e-02
2.000000000000000000e+01,7.648425516965254821e-03,9.628449835042763097e-03
2.100000000000000000e+01,7.391229412927273132e-03,9.922085162192149227e-03
2.200000000000000000e+01,7.205760461129992120e-03,1.011871508501903730e-02
2.300000000000000000e+01,6.978638783676295414e-03,9.355137683557694303e-03
2.400000000000000000e+01,6.826327896401408052e-03,9.059563557383090715e-03
2.500000000000000000e+01,6.613498635632224579e-03,8.626760145319368328e-03
2.600000000000000000e+01,6.408947467307995159e-03,8.754011806148286057e-03
2.700000000000000000e+01,6.312951171224942017e-03,8.553335694051382790e-03
2.800000000000000000e+01,6.138502014296363246e-03,8.161619449769856940e-03
2.900000000000000000e+01,6.036688115000162294e-03,8.020755535529118518e-03
3.000000000000000000e+01,5.926027134593676859e-03,8.480193881004466014e-03
3.100000000000000000e+01,5.780707114085269389e-03,8.038362904988549662e-03
3.200000000000000000e+01,5.691381776898847902e-03,7.818382602392754191e-03
3.300000000000000000e+01,5.645640048558309664e-03,7.731033012243662683e-03
3.400000000000000000e+01,5.664182902730691659e-03,7.893488007291296626e-03
3.500000000000000000e+01,5.319993514962940637e-03,7.526767890595734492e-03
3.600000000000000000e+01,5.191434168789792018e-03,7.339163052438398352e-03
3.700000000000000000e+01,5.084179767403718131e-03,6.891869720907961919e-03
3.800000000000000000e+01,5.032980525967366281e-03,7.928965550170101809e-03
3.900000000000000000e+01,4.881305487579949351e-03,6.702040966221701861e-03
4.000000000000000000e+01,4.779713088735043289e-03,7.239627788109083417e-03
4.100000000000000000e+01,4.702507905659484774e-03,7.152322825047527713e-03
4.200000000000000000e+01,4.577357389963417240e-03,7.008712857353683115e-03
4.300000000000000000e+01,4.503853860747125855e-03,6.917146999145407787e-03
4.400000000000000000e+01,4.425201560598633621e-03,6.233953395325168845e-03
4.500000000000000000e+01,4.342811109763530970e-03,6.627474061512771825e-03
4.600000000000000000e+01,4.258977848213088904e-03,6.227858822737208401e-03
4.700000000000000000e+01,4.248719939133535455e-03,6.618713764229272774e-03
4.800000000000000000e+01,4.169121408480394933e-03,6.607547571071003926e-03
4.900000000000000000e+01,4.034086122442998544e-03,6.602954947906925984e-03
5.000000000000000000e+01,3.908320409613781979e-03,5.995939782512228235e-03
5.100000000000000000e+01,3.805795081280556776e-03,6.292713385628517959e-03
5.200000000000000000e+01,3.758272566861785378e-03,6.069710837493416493e-03
5.300000000000000000e+01,3.738501380024798499e-03,5.878115841853750502e-03
5.400000000000000000e+01,3.630829559019097420e-03,5.716587602657299469e-03
5.500000000000000000e+01,3.534718117009282099e-03,5.618308838770413177e-03
5.600000000000000000e+01,3.449714645220256989e-03,5.709852879291448316e-03
5.700000000000000000e+01,3.390748115037802053e-03,5.702009916585096955e-03
5.800000000000000000e+01,3.343460388685126974e-03,5.715413414398550114e-03
5.900000000000000000e+01,3.244408336542531530e-03,5.873867343120234112e-03
6.000000000000000000e+01,3.184240553715957274e-03,5.419479296384482545e-03
6.100000000000000000e+01,3.070754140373684656e-03,5.268297103648677225e-03
6.200000000000000000e+01,3.029599808601386376e-03,5.481233268405031993e-03
6.300000000000000000e+01,2.975363106424512398e-03,5.540408786479002722e-03
6.400000000000000000e+01,2.936001778456614423e-03,5.425138011084165192e-03
6.500000000000000000e+01,2.865073830792778855e-03,5.011324912336991705e-03
6.600000000000000000e+01,2.764067208260348029e-03,5.183287460456105500e-03
6.700000000000000000e+01,2.720254911277100729e-03,5.063572322999117595e-03
6.800000000000000000e+01,2.700438087770816974e-03,4.820049744158006778e-03
6.900000000000000000e+01,2.580655292700787494e-03,5.069113023845091791e-03
7.000000000000000000e+01,2.505032926101377361e-03,4.939936447973747313e-03
7.100000000000000000e+01,2.514264729337072936e-03,4.756698122403636014e-03
7.200000000000000000e+01,2.429719221256412820e-03,4.526009302225089681e-03
7.300000000000000000e+01,2.323232097540835813e-03,4.761862468144715220e-03
